s,cx,cy,lx,ly,rx,ry
329.282,27.7974,99.9995,27.7974,94.9995,27.7973,104.999
329.782,27.2977,99.9995,27.2977,94.9995,27.2977,104.999
330.282,26.798,99.9995,26.7981,94.9995,26.798,104.999
330.781,26.2984,99.9995,26.2984,94.9995,26.2983,104.999
331.281,25.7987,99.9995,25.7987,94.9995,25.7987,104.999
331.781,25.299,99.9995,25.2991,94.9995,25.299,104.999
332.28,24.7994,99.9994,24.7994,94.9994,24.7993,104.999
332.78,24.2997,99.9994,24.2997,94.9994,24.2997,104.999
333.28,23.8,99.9994,23.8001,94.9994,23.8,104.999
333.779,23.3004,99.9994,23.3004,94.9994,23.3003,104.999
334.279,22.8007,99.9994,22.8007,94.9994,22.8006,104.999
334.779,22.301,99.9994,22.301,94.9994,22.301,104.999
335.278,21.8013,99.9994,21.8014,94.9994,21.8013,104.999
335.778,21.3017,99.9994,21.3017,94.9994,21.3016,104.999
336.278,20.802,99.9994,20.802,94.9994,20.802,104.999
336.777,20.3023,99.9994,20.3024,94.9994,20.3023,104.999
337.277,19.8027,99.9994,19.8027,94.9994,19.8026,104.999
337.777,19.303,99.9994,19.303,94.9994,19.303,104.999
338.276,18.8033,99.9994,18.8034,94.9994,18.8033,104.999
338.776,18.3037,99.9994,18.3037,94.9994,18.3036,104.999
339.276,17.804,99.9994,17.804,94.9994,17.8039,104.999
339.775,17.3043,99.9994,17.3044,94.9994,17.3043,104.999
340.275,16.8046,99.9994,16.8047,94.9994,16.8046,104.999
340.775,16.305,99.9994,16.305,94.9994,16.3049,104.999
341.274,15.8053,99.9994,15.8053,94.9994,15.8053,104.999
341.774,15.3056,99.9994,15.3057,94.9994,15.3056,104.999
342.274,14.806,99.9994,14.806,94.9994,14.8059,104.999
342.773,14.3063,99.9994,14.3063,94.9994,14.3063,104.999
343.273,13.8066,99.9994,13.8067,94.9994,13.8066,104.999
343.773,13.307,99.9994,13.307,94.9994,13.3069,104.999
344.272,12.8073,99.9994,12.8073,94.9994,12.8073,104.999
344.772,12.3076,99.9994,12.3077,94.9994,12.3076,104.999
345.272,11.808,99.9994,11.808,94.9994,11.8079,104.999
345.771,11.3083,99.9993,11.3083,94.9993,11.3082,104.999
346.271,10.8086,99.9993,10.8086,94.9993,10.8086,104.999
346.771,10.3089,99.9993,10.309,94.9993,10.3089,104.999
347.27,9.80927,99.9993,9.80931,94.9993,9.80924,104.999
347.77,9.3096,99.9993,9.30964,94.9993,9.30957,104.999
348.27,8.80993,99.9993,8.80997,94.9993,8.8099,104.999
